X,Y,Z,azimuth,dip,polarity,formation
609241.1589654643,7471742.899447259,604.0,180.73060732338038,18,1,Hardey_Formation
601781.4310115596,7473125.329574077,608.0,356.8062208543159,18,1,Milli_Milli_Inlier_metagranitc_unit
601865.0006609106,7471627.659345453,599.0,536.8062208543158,18,1,Milli_Milli_Inlier_metagranitc_unit
597154.928668084,7472988.89317997,622.0,1.2263689236345954,27,1,Milli_Milli_Inlier_metagranitc_unit
597122.824856206,7471489.2367709,629.0,181.2263689236346,27,1,Milli_Milli_Inlier_metagranitc_unit
536543.9882876236,7474436.77199785,443.0,189.5623426123893,39,1,Rocklea_Inlier_metagranitic_unit
523619.04490175826,7506630.084621702,543.0,529.2318730600589,35,1,Turee_Creek_Group
523899.2971755617,7505156.497616118,537.0,709.2318730600589,35,1,Turee_Creek_Group
530149.604562014,7462921.254419961,438.0,533.9522202586636,33,1,Jeerinah_Formation
530307.641220556,7461429.602847188,420.0,713.9522202586636,33,1,Brockman_Iron_Formation
566085.1700201773,7474717.680304143,844.0,238.11981996178716,7,1,Brockman_Iron_Formation
564811.4383660026,7473925.463368477,837.0,418.11981996178713,7,1,Brockman_Iron_Formation
627838.9746342076,7431238.672266583,504.0,365.2353062395642,27,1,Cheela_Springs_Basalt
627975.8439897124,7432732.414807827,510.0,545.2353062395642,27,1,Cheela_Springs_Basalt
639405.6445686385,7429575.710360393,528.0,372.4698014517379,10,1,Turee_Creek_Group
639729.5320886275,7431040.325283979,532.0,552.4698014517379,10,1,Turee_Creek_Group
554974.819243525,7488002.192062252,539.0,364.99261384623236,33,1,Turee_Creek_Group
555105.3602233349,7489496.500950198,542.0,544.9926138462324,33,1,Turee_Creek_Group
561800.12227078,7487307.347761605,572.0,369.1968178463592,8,1,Turee_Creek_Group
562039.8618150201,7488788.065476406,570.0,549.1968178463592,8,1,Turee_Creek_Group
566425.481048896,7486256.271501187,613.0,374.21184191549895,32,1,Turee_Creek_Group
566793.742667904,7487710.363444623,604.0,554.211841915499,32,1,Turee_Creek_Group
542404.0214516796,7497535.676315305,486.0,156.3977987910671,6,1,Bunjinah_Formation
541803.4450955804,7498910.197337515,499.0,336.39779879106715,6,1,Bunjinah_Formation
515067.0315143447,7436515.165624454,266.0,204.8412863632459,47,1,Ashburton_Formation
515697.19066807575,7437876.378113733,295.0,384.84128636324584,47,1,Ashburton_Formation
520628.82849536795,7433946.523554732,277.0,204.7067973034016,50,1,Ashburton_Formation
521255.7907734021,7435309.211450738,276.0,384.70679730340163,50,1,Ashburton_Formation
615217.6244899585,7491937.583530045,753.0,15.573300793750207,33,1,Jeerinah_Formation
641459.9760565852,7505311.936518126,769.0,23.61221968222497,5,1,Brockman_Iron_Formation
640859.1593673211,7503937.520530916,747.0,203.61221968222495,5,1,Brockman_Iron_Formation
635536.9585179057,7508280.305403079,784.0,29.694363256593423,8,1,Brockman_Iron_Formation
634793.898702456,7506977.28502309,812.0,209.69436325659345,8,1,Brockman_Iron_Formation
569655.7678567562,7423971.687960294,375.0,206.63736023976944,51,1,Mount_McGrath_Formation
568983.2548056087,7422630.894838283,360.0,386.6373602397695,51,1,Duck_Creek_Dolomite
559910.0837662709,7427955.797748144,348.0,198.67927053437802,44,1,Duck_Creek_Dolomite
559429.6783592191,7426534.808429087,338.0,378.67927053437796,44,1,Mount_McGrath_Formation
551393.9485642806,7431029.515168022,332.0,201.88836927507248,43,1,Duck_Creek_Dolomite
550834.7494203494,7429637.647244178,326.0,381.8883692750725,43,1,Duck_Creek_Dolomite
545868.1646868414,7432993.639573249,345.0,196.4839551286839,49,1,Duck_Creek_Dolomite
545442.5444423086,7431555.290725632,335.0,376.4839551286839,49,1,Duck_Creek_Dolomite
536288.777452446,7435475.115258539,334.0,193.85910254026797,54,1,Duck_Creek_Dolomite
535929.4748197738,7434018.78369665,325.0,373.859102540268,54,1,Duck_Creek_Dolomite
523277.2910895569,7439666.1893834965,353.0,202.4343234896089,50,1,Duck_Creek_Dolomite
522704.8548427331,7438279.713006734,295.0,382.43432348960886,50,1,Duck_Creek_Dolomite
514794.54752827703,7443180.748270404,286.0,202.67160751399982,46,1,Duck_Creek_Dolomite
514216.37427089346,7441796.654456948,280.0,382.6716075139998,46,1,Duck_Creek_Dolomite
618203.2803323263,7499819.822245603,811.0,201.99092875719194,23,1,Wittenoom_Formation
617641.5906411136,7498428.957517895,1061.0,381.99092875719185,23,1,Wittenoom_Formation
